area,date,start_hour,price,compensation,filtered_price
NO2,2022-12-06,16,5.7697,2.23403851814516,3.53566148185484
NO2,2022-12-06,17,4.4806125,2.23403851814516,2.24657398185484
NO2,2022-12-06,18,5.1897875,2.23403851814516,2.95574898185484
NO2,2022-12-06,19,4.192525,2.23403851814516,1.95848648185484
NO2,2022-12-06,20,3.87735,2.23403851814516,1.64331148185484
NO2,2022-12-06,21,3.86225,2.23403851814516,1.62821148185484
NO2,2022-12-06,22,3.81,2.23403851814516,1.57596148185484
NO2,2022-12-06,23,3.4464375,2.23403851814516,1.21239898185484
NO2,2022-12-07,0,3.4577375,2.23403851814516,1.22369898185484
NO2,2022-12-07,1,3.1384875,2.23403851814516,0.90444898185484
NO2,2022-12-07,2,2.7500875,2.23403851814516,0.51604898185484
NO2,2022-12-07,3,2.69115,2.23403851814516,0.45711148185484
NO2,2022-12-07,4,3.097975,2.23403851814516,0.86393648185484
NO2,2022-12-07,5,3.3899125,2.23403851814516,1.15587398185484
NO2,2022-12-07,6,3.6842125,2.23403851814516,1.45017398185484
NO2,2022-12-07,7,4.0289625,2.23403851814516,1.79492398185484
NO2,2022-12-07,8,4.8537,2.23403851814516,2.61966148185484
NO2,2022-12-07,9,4.3867625,2.23403851814516,2.15272398185484
NO2,2022-12-07,10,4.126975,2.23403851814516,1.89293648185484
NO2,2022-12-07,11,4.0809625,2.23403851814516,1.84692398185484
NO2,2022-12-07,12,4.003475,2.23403851814516,1.76943648185484
NO2,2022-12-07,13,4.1031875,2.23403851814516,1.86914898185484
NO2,2022-12-07,14,5.1673375,2.23403851814516,2.93329898185484
NO2,2022-12-07,15,5.5305,2.23403851814516,3.29646148185484
NO2,2022-12-07,16,5.75005,2.23403851814516,3.51601148185484
NO2,2022-12-07,17,5.3201,2.23403851814516,3.08606148185484
NO2,2022-12-07,18,5.065275,2.23403851814516,2.83123648185484
NO2,2022-12-07,19,4.918125,2.23403851814516,2.68408648185484
NO2,2022-12-07,20,5.1770125,2.23403851814516,2.94297398185484
NO2,2022-12-07,21,4.1152125,2.23403851814516,1.88117398185484
NO2,2022-12-07,22,3.835675,2.23403851814516,1.60163648185484
NO2,2022-12-07,23,3.5600625,2.23403851814516,1.32602398185484
NO2,2022-12-08,0,3.9038625,2.23403851814516,1.66982398185484
NO2,2022-12-08,1,3.7066375,2.23403851814516,1.47259898185484
NO2,2022-12-08,2,3.5599625,2.23403851814516,1.32592398185484
NO2,2022-12-08,3,3.5631375,2.23403851814516,1.32909898185484
NO2,2022-12-08,4,3.6368,2.23403851814516,1.40276148185484
NO2,2022-12-08,5,3.936725,2.23403851814516,1.70268648185484
NO2,2022-12-08,6,4.084975,2.23403851814516,1.85093648185484
NO2,2022-12-08,7,5.1060875,2.23403851814516,2.87204898185484
NO2,2022-12-08,8,5.7352625,2.23403851814516,3.50122398185484
NO2,2022-12-08,9,5.820675,2.23403851814516,3.58663648185484
NO2,2022-12-08,10,5.740675,2.23403851814516,3.50663648185484
NO2,2022-12-08,11,5.7079375,2.23403851814516,3.47389898185484
NO2,2022-12-08,12,5.73685,2.23403851814516,3.50281148185484
NO2,2022-12-08,13,5.7342,2.23403851814516,3.50016148185484
NO2,2022-12-08,14,5.8081375,2.23403851814516,3.57409898185484
NO2,2022-12-08,15,5.84575,2.23403851814516,3.61171148185484
NO2,2022-12-08,16,5.9216625,2.23403851814516,3.68762398185484
NO2,2022-12-08,17,6.3731375,2.23403851814516,4.13909898185484
NO2,2022-12-08,18,5.874925,2.23403851814516,3.64088648185484
NO2,2022-12-08,19,5.8078625,2.23403851814516,3.57382398185484
NO2,2022-12-08,20,5.550575,2.23403851814516,3.31653648185484
NO2,2022-12-08,21,4.5171875,2.23403851814516,2.28314898185484
NO2,2022-12-08,22,4.199825,2.23403851814516,1.96578648185484
NO2,2022-12-08,23,3.8357375,2.23403851814516,1.60169898185484
NO2,2022-12-09,0,4.1670625,2.23403851814516,1.93302398185484
NO2,2022-12-09,1,3.9089125,2.23403851814516,1.67487398185484
NO2,2022-12-09,2,3.8573,2.23403851814516,1.62326148185484
NO2,2022-12-09,3,3.8075375,2.23403851814516,1.57349898185484
NO2,2022-12-09,4,3.8783625,2.23403851814516,1.64432398185484
NO2,2022-12-09,5,4.0605625,2.23403851814516,1.82652398185484
NO2,2022-12-09,6,4.3992875,2.23403851814516,2.16524898185484
NO2,2022-12-09,7,5.78405,2.23403851814516,3.55001148185484
NO2,2022-12-09,8,6.0627375,2.23403851814516,3.82869898185484
NO2,2022-12-09,9,6.068,2.23403851814516,3.83396148185484
NO2,2022-12-09,10,6.01245,2.23403851814516,3.77841148185484
NO2,2022-12-09,11,6.1885875,2.23403851814516,3.95454898185484
NO2,2022-12-09,12,6.124475,2.23403851814516,3.89043648185484
NO2,2022-12-09,13,5.9954625,2.23403851814516,3.76142398185484
NO2,2022-12-09,14,6.0776125,2.23403851814516,3.84357398185484
NO2,2022-12-09,15,6.0453625,2.23403851814516,3.81132398185484
NO2,2022-12-09,16,6.0577375,2.23403851814516,3.82369898185484
NO2,2022-12-09,17,6.479,2.23403851814516,4.24496148185484
NO2,2022-12-09,18,6.0894625,2.23403851814516,3.85542398185484
NO2,2022-12-09,19,5.7595625,2.23403851814516,3.52552398185484
NO2,2022-12-09,20,5.612775,2.23403851814516,3.37873648185484
NO2,2022-12-09,21,4.76525,2.23403851814516,2.53121148185484
NO2,2022-12-09,22,4.3432,2.23403851814516,2.10916148185484
NO2,2022-12-09,23,4.0629375,2.23403851814516,1.82889898185484
NO2,2022-12-10,0,3.9888625,2.23403851814516,1.75482398185484
NO2,2022-12-10,1,3.906125,2.23403851814516,1.67208648185484
NO2,2022-12-10,2,3.719725,2.23403851814516,1.48568648185484
NO2,2022-12-10,3,3.6732125,2.23403851814516,1.43917398185484
NO2,2022-12-10,4,3.64555,2.23403851814516,1.41151148185484
NO2,2022-12-10,5,3.6730875,2.23403851814516,1.43904898185484
NO2,2022-12-10,6,3.7836125,2.23403851814516,1.54957398185484
NO2,2022-12-10,7,4.00875,2.23403851814516,1.77471148185484
NO2,2022-12-10,8,4.42925,2.23403851814516,2.19521148185484
NO2,2022-12-10,9,5.0521,2.23403851814516,2.81806148185484
NO2,2022-12-10,10,5.3528625,2.23403851814516,3.11882398185484
NO2,2022-12-10,11,5.2642,2.23403851814516,3.03016148185484
NO2,2022-12-10,12,5.0766125,2.23403851814516,2.84257398185484
NO2,2022-12-10,13,4.803775,2.23403851814516,2.56973648185484
NO2,2022-12-10,14,4.8134,2.23403851814516,2.57936148185484
NO2,2022-12-10,15,5.023125,2.23403851814516,2.78908648185484
NO2,2022-12-10,16,5.368925,2.23403851814516,3.13488648185484
NO2,2022-12-10,17,5.7434625,2.23403851814516,3.50942398185484
NO2,2022-12-10,18,5.6512375,2.23403851814516,3.41719898185484
NO2,2022-12-10,19,5.37065,2.23403851814516,3.13661148185484
NO2,2022-12-10,20,4.610125,2.23403851814516,2.37608648185484
NO2,2022-12-10,21,4.1646,2.23403851814516,1.93056148185484
NO2,2022-12-10,22,4.0113875,2.23403851814516,1.77734898185484
NO2,2022-12-10,23,3.7581875,2.23403851814516,1.52414898185484
NO2,2022-12-11,0,3.958375,2.23403851814516,1.72433648185484
NO2,2022-12-11,1,3.856175,2.23403851814516,1.62213648185484
NO2,2022-12-11,2,3.7940125,2.23403851814516,1.55997398185484
NO2,2022-12-11,3,3.5890875,2.23403851814516,1.35504898185484
NO2,2022-12-11,4,3.5350875,2.23403851814516,1.30104898185484
NO2,2022-12-11,5,3.5458875,2.23403851814516,1.31184898185484
NO2,2022-12-11,6,3.7005125,2.23403851814516,1.46647398185484
NO2,2022-12-11,7,3.68405,2.23403851814516,1.45001148185484
NO2,2022-12-11,8,3.75595,2.23403851814516,1.52191148185484
NO2,2022-12-11,9,4.0859875,2.23403851814516,1.85194898185484
NO2,2022-12-11,10,4.1759375,2.23403851814516,1.94189898185484
NO2,2022-12-11,11,4.414325,2.23403851814516,2.18028648185484
NO2,2022-12-11,12,4.4373625,2.23403851814516,2.20332398185484
NO2,2022-12-11,13,4.1997875,2.23403851814516,1.96574898185484
NO2,2022-12-11,14,4.2013625,2.23403851814516,1.96732398185484
NO2,2022-12-11,15,4.3195,2.23403851814516,2.08546148185484
NO2,2022-12-11,16,4.6146375,2.23403851814516,2.38059898185484
NO2,2022-12-11,17,5.2826125,2.23403851814516,3.04857398185484
NO2,2022-12-11,18,5.4882,2.23403851814516,3.25416148185484
NO2,2022-12-11,19,5.2673375,2.23403851814516,3.03329898185484
NO2,2022-12-11,20,4.9001625,2.23403851814516,2.66612398185484
