postnr,poststed,kommune,NO 1,NO 2,NO 3,NO 4,NO 5
0661,OSLO,0301,460483.235350026,0,0,0,0
0662,OSLO,0301,343740.441900134,0,0,0,0
0663,OSLO,0301,447567.274350111,0,0,0,0
0664,OSLO,0301,376074.932300088,0,0,0,0
0665,OSLO,0301,449135.864199991,0,0,0,0
0666,OSLO,0301,466700.285600045,0,0,0,0
0667,OSLO,0301,283384.784999905,0,0,0,0
0667,OSLO,0301,1250999.99479989,0,0,0,0
0668,OSLO,0301,2072360.91090008,0,0,0,0
0669,OSLO,0301,493336.15959993,0,0,0,0
0670,OSLO,0301,163329.851849917,0,0,0,0
0671,OSLO,0301,884487.339600066,0,0,0,0
0672,OSLO,0301,1996561.86904995,0,0,0,0
0673,OSLO,0301,655716.67494986,0,0,0,0
0674,OSLO,0301,912972.133600366,0,0,0,0
0675,OSLO,0301,397365.474150099,0,0,0,0
0676,OSLO,0301,772243.943249885,0,0,0,0
0677,OSLO,0301,169714.647300054,0,0,0,0
0678,OSLO,0301,654640.353849925,0,0,0,0
0679,OSLO,0301,291261.43745003,0,0,0,0
0680,OSLO,0301,759605.818899941,0,0,0,0
0681,OSLO,0301,1025607.06109999,0,0,0,0
0682,OSLO,0301,787057.76690007,0,0,0,0
0683,OSLO,0301,32462.1929000248,0,0,0,0
0683,OSLO,0301,186419.253199949,0,0,0,0
0684,OSLO,0301,86481.4400500641,0,0,0,0
0684,OSLO,0301,121883.042249927,0,0,0,0
0685,OSLO,0301,279759.838999875,0,0,0,0
0686,OSLO,0301,643262.834299862,0,0,0,0
0687,OSLO,0301,2965316.51660041,0,0,0,0
0688,OSLO,0301,271184.847649984,0,0,0,0
0689,OSLO,0301,4909399.00669978,0,0,0,0
0690,OSLO,0301,605854.419249944,0,0,0,0
0691,OSLO,0301,357596.681050084,0,0,0,0
0692,OSLO,0301,344603.595949978,0,0,0,0
0693,OSLO,0301,3644240.21835063,0,0,0,0
0694,OSLO,0301,1049217.60084996,0,0,0,0
0750,OSLO,0301,142926.220749989,0,0,0,0
0751,OSLO,0301,276180.400849976,0,0,0,0
0752,OSLO,0301,179699.872749922,0,0,0,0
0753,OSLO,0301,344524.890100029,0,0,0,0
0754,OSLO,0301,702125.741249981,0,0,0,0
0755,OSLO,0301,225476.74409988,0,0,0,0
0756,OSLO,0301,8298.980799963,0,0,0,0
0756,OSLO,0301,255768.107450105,0,0,0,0
0757,OSLO,0301,71721.3997500576,0,0,0,0
0757,OSLO,0301,932752.509749927,0,0,0,0
0758,OSLO,0301,66430269.1810468,0,0,0,0
0760,OSLO,0301,308086.10224994,0,0,0,0
0763,OSLO,0301,90877.9658000097,0,0,0,0
0764,OSLO,0301,79511.7096999362,0,0,0,0
0765,OSLO,0301,186259.282299981,0,0,0,0
0766,OSLO,0301,672481.928100126,0,0,0,0
0767,OSLO,0301,237164.966999918,0,0,0,0
0768,OSLO,0301,312235.4388,0,0,0,0
0770,OSLO,0301,192790.500650017,0,0,0,0
0770,OSLO,0301,31014.9917000104,0,0,0,0
0771,OSLO,0301,402175.523750177,0,0,0,0
0772,OSLO,0301,220309.41695004,0,0,0,0
0773,OSLO,0301,389547.577350039,0,0,0,0
0774,OSLO,0301,370357.784600015,0,0,0,0
